Q9,Stimmt ihr dafür Pedro González von seinen Tätigkeiten als Stellvertretender Nationaler Repräsentant während des NB Mandats 2019/20 zu entlasten?,de-informal
Q9,Do you agree to discharge Pedro González of his actions as Vice National Representative during the NB mandate 2019/20?,en
AO01,Yes,en
AO02,No,en
AO03,Abstain,en
AO01,Ja,de-informal
AO02,Nein,de-informal
AO03,Enthaltung,de-informal
Q10,Stimmt ihr dafür Milan Grigull von seinen Tätigkeiten als Event Manager während des NB Mandats 2019/20 zu entlasten?,de-informal
Q10,Do you agree to discharge Milan Grigull of his actions as Event Manager during the NB mandate 2019/20?,en
AO01,Yes,en
AO02,No,en
AO03,Abstain,en
AO01,Ja,de-informal
AO02,Nein,de-informal
AO03,Enthaltung,de-informal
Q11,Wählt ihr Patrick Peeck (ESN Darmstadt) als Verwaltungsratsvorsitzenden für das Mandat 2020/21?,de-informal
Q11,Do you elect Patrick Peeck (ESN Darmstadt) as Main Chair of the Audit Board for the mandate 2020/21?,en
AO01,Yes,en
AO02,No,en
AO03,Abstain,en
AO01,Ja,de-informal
AO02,Nein,de-informal
AO03,Enthaltung,de-informal
Q12,Wählt ihr Alina Dallmann (ESN Darmstadt) als Finanzauditorin für das Mandat 2020/21?,de-informal
Q12,Do you elect Alina Dallmann (ESN Darmstadt) as Financial Auditor for the mandate 2020/21?,en
AO01,Yes,en
AO02,No,en
AO03,Abstain,en
AO01,Ja,de-informal
AO02,Nein,de-informal
AO03,Enthaltung,de-informal
Q13,Wählt ihr Ivo Sieder (ESN LEI Greifswald) als Rechtsauditor für das Mandat 2020/21?,de-informal
Q13,Do you elect Ivo Sieder (ESN LEI Greifswald) as Legal Auditor for the mandate 2020/21?,en
AO01,Yes,en
AO02,No,en
AO03,Abstain,en
AO01,Ja,de-informal
AO02,Nein,de-informal
AO03,Enthaltung,de-informal
Q14,Wählt ihr Julius Netzer (ESN Heidelberg) als Rechtsauditor für das Mandat 2020/21?,de-informal
Q14,Do you elect Julius Netzer (ESN Heidelberg) as Legal Auditor for the mandate 2020/21?,en
AO01,Yes,en
AO02,No,en
AO03,Abstain,en
AO01,Ja,de-informal
AO02,Nein,de-informal
AO03,Enthaltung,de-informal
